
COMMUNICATION WEIGHT,10

COUPLING WEIGHT,15

MICROSERVICES,M1,M2,M3,M4

COMMUNICATION COST,180,80,450,160

COUPLING COST,2580,2460,4785,4185

REPLICATION COST,470

TOTAL COST,15350

POS ENTITIES
E1,1,0,0,1
E2,0,0,1,0
E3,1,0,0,0
E4,1,0,0,0
E5,1,0,0,0
E6,0,0,1,0
E7,0,0,1,0
E8,0,0,1,0
E9,0,1,0,0
E10,0,1,0,0
E11,0,1,0,0
E12,0,0,0,1
E13,0,1,0,0
E14,1,0,0,0
E15,1,0,0,0
E16,1,0,0,0
E17,0,0,0,1
E18,0,1,0,0
E19,0,1,0,0
E20,0,0,0,1
E21,0,0,1,0
E22,0,0,0,1
E23,0,0,1,0
E24,0,0,1,0
E25,0,0,0,1
E26,0,0,0,1
E27,1,0,0,0
E28,1,0,0,0
E29,1,0,0,0
E30,0,0,1,0
E31,0,0,1,0
E32,0,1,0,0
E33,0,1,0,0
E34,0,1,0,0
E35,0,0,0,1
E36,0,0,0,1
E37,0,0,1,0
E38,0,0,0,1
E39,0,0,1,0
E40,0,0,1,1
E41,0,0,0,1
E42,0,0,0,1
E43,0,1,0,0
E44,0,0,1,0
E45,0,0,1,0

POS OPERATIONS
OP1,0,0,0,1
OP2,0,0,1,0
OP3,0,0,0,1
OP4,0,0,0,1
OP5,0,0,0,1
OP6,0,0,0,1
OP7,0,0,0,1
OP8,0,0,1,0
OP9,0,0,1,0
OP10,0,0,1,0
OP11,0,0,0,1
OP12,0,0,1,0
OP13,0,0,0,1
OP14,1,0,0,0
OP15,0,0,0,1
OP16,0,0,0,1
OP17,0,0,0,1
OP18,1,0,0,0
OP19,0,0,1,0
OP20,0,0,0,1
OP21,0,0,0,1
OP22,0,0,1,0
OP23,0,0,0,1
OP24,0,0,0,1
OP25,0,0,0,1
OP26,1,0,0,0
OP27,0,0,1,0
OP28,1,0,0,0
OP29,0,0,1,0
OP30,0,0,1,0
OP31,0,0,1,0
OP32,0,0,0,1
OP33,0,0,0,1
OP34,0,0,1,0
OP35,0,0,1,0
OP36,0,0,1,0
OP37,0,0,1,0
OP38,1,0,0,0
OP39,1,0,0,0
OP40,0,0,0,1
OP41,0,0,1,0
OP42,0,0,0,1
OP43,0,0,0,1
OP44,0,0,1,0
OP45,0,1,0,0
OP46,0,0,0,1
OP47,0,0,0,1
OP48,0,0,1,0
OP49,0,0,1,0
OP50,0,0,1,0
OP51,0,0,1,0
OP52,0,0,0,1
OP53,0,1,0,0
OP54,0,0,1,0
OP55,0,0,1,0
OP56,0,0,1,0
OP57,0,0,1,0
OP58,0,0,0,1
OP59,0,0,0,1
OP60,1,0,0,0
OP61,1,0,0,0
OP62,0,0,0,1
OP63,0,0,0,1
OP64,0,0,0,1
OP65,0,0,0,1
OP66,0,0,0,1
OP67,1,0,0,0
OP68,0,0,1,0
OP69,0,0,0,1
OP70,0,0,1,0
OP71,0,0,1,0
